tname	tf	tfgenename	tfcount	gene	tfauc	gcount	npmotifregweight	npgexpress	nprtype
Male reproductive glands	Hnf4_(-)-NP	Hnf4	1206	sNPF	0.08102	8	12.3	1.34992	np
Male reproductive glands	kay_(-)-NP	kay	133	natalisin	0.14194	5	6.2	1.03759	np
Male reproductive glands	lbe_(+)-NP	lbe	108	AstA	0.21712	3	3.5	1.05556	np
Male reproductive glands	lbe_(-)-NP	lbe	102	AstA	0.07383	3	3.5	1.03922	np
Male reproductive glands	lbl_(+)-NP	lbl	108	AstA	0.2687	4	33.4	1.05556	np
Male reproductive glands	lbl_(+)-NP	lbl	133	natalisin	0.26795	1	26.7	1.03759	np
Male reproductive glands	lbl_(-)-NP	lbl	108	AstA	0.06901	4	33.4	1.05556	np
Male reproductive glands	lbl_(-)-NP	lbl	133	natalisin	0.1065	1	26.7	1.03759	np
Male reproductive glands	Mondo_(+)-NP	Mondo	1206	sNPF	0.03126	3	8.7	1.34992	np
Male reproductive glands	OdsH_(+)-NP	OdsH	133	natalisin	0.21202	5	30.5	1.03759	np
Male reproductive glands	OdsH_(-)-NP	OdsH	89	natalisin	0.16242	5	30.5	1.03371	np
Male reproductive glands	pho_(+)-NP	pho	133	natalisin	0.03059	2	4.6	1.03759	np
Male reproductive glands	prd_(+)-NP	prd	1206	sNPF	0.28263	3	14.9	1.34992	np
Male reproductive glands	run_(+)-NP	run	64	AstA	0.03569	100	17.5	1.09375	np
Male reproductive glands	sob_(+)-NP	sob	133	natalisin	0.07404	2	1.5	1.03759	np
Male reproductive glands	SREBP_(+)-NP	SREBP	133	natalisin	0.07252	5	5	1.03759	np
Male reproductive glands	svp_(-)-NP	svp	108	AstA	0.10155	1	52.6	1.05556	np
Male reproductive glands	svp_(-)-NP	svp	133	natalisin	0.13605	12	101	1.03759	np
Male reproductive glands	Trf2_(-)-NP	Trf2	19	natalisin	0.0784	1	2.1	1	np
Male reproductive glands	Trf2_(-)-NP	Trf2	37	sNPF	0.10775	91	14.6	1.32432	np
Male reproductive glands	tx_(-)-NP	tx	949	sNPF	0.12567	1	1.1	1.35616	np
Male reproductive glands	unc-4_(+)-NP	unc-4	1206	sNPF	0.10461	3	0.9	1.34992	np
Male reproductive glands	Usf_(+)-NP	Usf	108	AstA	0.0346	5	3.7	1.05556	np
Male reproductive glands	Vsx1_(+)-NP	Vsx1	30	AstA	0.02876	7	1.3	1.2	np
Malpighian tubule	Dp_(+)-NP	Dp	209	natalisin	0.02302	60	15.7	1.04306	np
Malpighian tubule	Dp_(-)-NP	Dp	75	natalisin	0.03671	60	15.7	1.09333	np
Malpighian tubule	E2f1_(-)-NP	E2f1	183	natalisin	0.01793	6	3.5	1.04918	np
Malpighian tubule	E2f2_(+)-NP	E2f2	162	natalisin	0.00873	2	0.6	1.04938	np
Malpighian tubule	FoxK_(+)-NP	FoxK	209	natalisin	0.04802	1	0.7	1.04306	np
Malpighian tubule	FoxK_(-)-NP	FoxK	90	natalisin	0.05814	1	0.7	1.07778	np
Malpighian tubule	gcm2_(+)-NP	gcm2	153	natalisin	0.012	21	4.1	1.05229	np
Malpighian tubule	Hnf4_(-)-NP	Hnf4	206	natalisin	0.12222	8	15.6	1.04369	np
Malpighian tubule	Hsf_(+)-NP	Hsf	209	natalisin	0.04221	3	2.6	1.04306	np
Malpighian tubule	jim_(+)-NP	jim	209	natalisin	0.16332	6	16.1	1.04306	np
Malpighian tubule	jim_(-)-NP	jim	205	natalisin	0.02518	6	16.1	1.03902	np
Malpighian tubule	kay_(-)-NP	kay	180	natalisin	0.04111	77	84.8	1.04444	np
Malpighian tubule	Kr_(+)-NP	Kr	19	sNPF	0.05729	7	3.1	2	np
Malpighian tubule	lab_(+)-NP	lab	2	NPF	0.15933	13	2.7	1.5	np
Malpighian tubule	nau_(+)-NP	nau	6	AstC	0.01994	5	7.7	1.66667	np
Malpighian tubule	ovo_(+)-NP	ovo	23	sNPF	0.08822	11	3.9	1.82609	np
Malpighian tubule	ovo_(-)-NP	ovo	27	sNPF	0.22453	11	3.9	1.7037	np
Malpighian tubule	ro_(+)-NP	ro	14	AstC	0.01794	3	1	1.28571	np
Malpighian tubule	sqz_(+)-NP	sqz	185	natalisin	0.04922	1	5.1	1.04324	np
Malpighian tubule	Stat92E_(-)-NP	Stat92E	50	natalisin	0.01676	4	39.2	1.06	np
Malpighian tubule	Tob_(+)-NP	Tob	209	natalisin	0.1356	2	1.3	1.04306	np
Oenocyte	Atf3_(-)-NP	Atf3	80	AstA	0.04419	100	93.4	2.225	np
Oenocyte	Atf3_(-)-NP	Atf3	101	natalisin	0.03816	64	67.5	1.06931	np
Oenocyte	Atf6_(-)-NP	Atf6	50	AstA	0.03793	1	1.8	2.08	np
Oenocyte	Atf6_(-)-NP	Atf6	400	sNPF	0.02363	1	6.5	10.705	np
Oenocyte	BtbVII_(-)-NP	BtbVII	400	sNPF	0.04199	29	6.7	9.9725	np
Oenocyte	byn_(+)-NP	byn	10	NPF	0.09092	100	83.3	1.1	np
Oenocyte	ci_(+)-NP	ci	558	sNPF	0.18331	2	2.3	11.06631	np
Oenocyte	ci_(-)-NP	ci	264	sNPF	0.0927	2	2.3	11.42045	np
Oenocyte	Cnot4_(+)-NP	Cnot4	558	sNPF	0.05013	2	5	11.06631	np
Oenocyte	crc_(-)-NP	crc	36	natalisin	0.04585	13	7.6	1	np
Oenocyte	crc_(-)-NP	crc	250	sNPF	0.02688	8	14.4	9.62	np
Oenocyte	CrebA_(-)-NP	CrebA	107	natalisin	0.04817	55	20.1	1.06542	np
Oenocyte	CrebB_(-)-NP	CrebB	79	natalisin	0.03824	14	41.6	1.07595	np
Oenocyte	CrebB_(-)-NP	CrebB	456	sNPF	0.01984	10	19.5	10.58114	np
Oenocyte	da_(+)-NP	da	107	natalisin	0.02508	52	13.9	1.06542	np
Oenocyte	Dif_(+)-NP	Dif	558	sNPF	0.20932	1	5.4	11.06631	np
Oenocyte	Dp_(+)-NP	Dp	558	sNPF	0.02512	2	1.6	11.06631	np
Oenocyte	E2f1_(-)-NP	E2f1	60	natalisin	0.03945	1	1.6	1.03333	np
Oenocyte	E2f1_(-)-NP	E2f1	287	sNPF	0.03709	15	5	10.76307	np
Oenocyte	E5_(+)-NP	E5	5	NPF	0.08135	1	18.2	1	np
Oenocyte	EcR_(+)-NP	EcR	107	natalisin	0.22008	7	8.1	1.06542	np
Oenocyte	EcR_(-)-NP	EcR	68	natalisin	0.0695	7	8.1	1.01471	np
Oenocyte	ERR_(-)-NP	ERR	62	natalisin	0.05421	14	13.1	1.06452	np
Oenocyte	fd102C_(+)-NP	fd102C	553	sNPF	0.32098	15	9.5	11.15732	np
Oenocyte	foxo_(-)-NP	foxo	504	sNPF	0.03938	4	4.7	11.53373	np
Oenocyte	ftz-f1_(-)-NP	ftz-f1	93	natalisin	0.03605	2	21.1	1.06452	np
Oenocyte	hbn_(+)-NP	hbn	44	AstA	0.02561	17	3.2	3.22727	np
Oenocyte	hbn_(+)-NP	hbn	12	AstC	0.07487	29	5.9	1.33333	np
Oenocyte	Hr39_(+)-NP	Hr39	106	natalisin	0.15925	3	6.2	1.06604	np
Oenocyte	Hr78_(-)-NP	Hr78	307	sNPF	0.01146	26	13.6	10.12704	np
Oenocyte	Hsf_(+)-NP	Hsf	107	natalisin	0.10922	3	2.8	1.06542	np
Oenocyte	Hsf_(-)-NP	Hsf	49	natalisin	0.03753	3	2.8	1.12245	np
Oenocyte	kay_(-)-NP	kay	2	FMRFa	0.22883	80	196.3	1	np
Oenocyte	klu_(+)-NP	klu	556	sNPF	0.27517	36	1.6	11.10252	np
Oenocyte	klu_(-)-NP	klu	558	sNPF	0.12878	36	1.6	11.06631	np
Oenocyte	Mef2_(-)-NP	Mef2	90	natalisin	0.04237	19	25	1.05556	np
Oenocyte	Mef2_(-)-NP	Mef2	453	sNPF	0.03032	14	25.1	11.08609	np
Oenocyte	Mitf_(-)-NP	Mitf	59	sNPF	0.0604	2	2.7	6.81356	np
Oenocyte	Mondo_(+)-NP	Mondo	558	sNPF	0.39949	1	2.1	11.06631	np
Oenocyte	Myc_(-)-NP	Myc	375	sNPF	0.0543	10	20.3	10.87467	np
Oenocyte	otp_(+)-NP	otp	10	NPF	0.08798	5	3.6	1.1	np
Oenocyte	pita_(+)-NP	pita	12	AstC	0.02492	40	12.1	1.33333	np
Oenocyte	pita_(+)-NP	pita	558	sNPF	0.01752	3	8.4	11.06631	np
Oenocyte	pnt_(+)-NP	pnt	558	sNPF	0.0845	9	5	11.06631	np
Oenocyte	Rel_(-)-NP	Rel	273	sNPF	0.01789	5	13.1	10.79121	np
Oenocyte	REPTOR-BP_(+)-NP	REPTOR-BP	558	sNPF	0.06032	20	29	11.06631	np
Oenocyte	run_(+)-NP	run	19	Crz	0.03886	11	11.9	1	np
Oenocyte	salm_(+)-NP	salm	558	sNPF	0.12999	2	1.3	11.06631	np
Oenocyte	salm_(-)-NP	salm	558	sNPF	0.24155	2	1.3	11.06631	np
Oenocyte	srp_(-)-NP	srp	549	sNPF	0.02795	100	48.4	10.99636	np
Oenocyte	sug_(+)-NP	sug	558	sNPF	0.4384	1	2.6	11.06631	np
Oenocyte	sug_(-)-NP	sug	479	sNPF	0.03858	1	2.6	11.15866	np
Oenocyte	tin_(+)-NP	tin	558	sNPF	0.05197	20	6.8	11.06631	np
Oenocyte	vnd_(+)-NP	vnd	557	sNPF	0.01904	91	76.4	11.08438	np
Oenocyte	Xbp1_(-)-NP	Xbp1	70	AstA	0.06556	82	60.6	2.4	np
Oenocyte	Xbp1_(-)-NP	Xbp1	72	natalisin	0.0552	6	7.4	1.06944	np
Oenocyte	zfh2_(+)-NP	zfh2	102	natalisin	0.01571	8	47.7	1.06863	np
Ovary	CG42741_(+)-NP	CG42741	1	SIFa	0.01623	1	5.6	1	np
Ovary	DNApol-iota_(+)-NP	DNApol-iota	722	natalisin	0.14724	10	9.1	1.1662	np
Ovary	Dp_(+)-NP	Dp	722	natalisin	0.06205	7	9.8	1.1662	np
Ovary	kay_(-)-NP	kay	702	natalisin	0.09019	100	158.3	1.16239	np
Ovary	REPTOR-BP_(+)-NP	REPTOR-BP	722	natalisin	0.12767	3	6.5	1.1662	np
Ovary	sd_(-)-NP	sd	64	AstA	0.04471	1	20.5	1	np
Ovary	Sox14_(+)-NP	Sox14	722	natalisin	0.15665	100	78.4	1.1662	np
Ovary	vri_(-)-NP	vri	668	natalisin	0.03428	2	9.1	1.16916	np
Proboscis	aop_(+)-NP	aop	910	sNPF	0.02063	45	1.5	3.55824	np
Proboscis	aop_(-)-NP	aop	1103	sNPF	0.22913	45	1.5	3.47235	np
Proboscis	Atf-2_(+)-NP	Atf-2	126	AstA	0.03029	88	4.7	4.79365	np
Proboscis	bowl_(+)-NP	bowl	425	natalisin	0.19715	4	2.3	1.12471	np
Proboscis	CG17802_(+)-NP	CG17802	1103	sNPF	0.09336	74	4.9	3.47235	np
Proboscis	CG5245_(+)-NP	CG5245	1071	sNPF	0.06468	1	2.1	3.44351	np
Proboscis	CG9650_(-)-NP	CG9650	42	AstC	0.06339	1	0.2	2.90476	np
Proboscis	cnc_(-)-NP	cnc	1103	sNPF	0.31258	3	3.4	3.47235	np
Proboscis	crc_(-)-NP	crc	271	natalisin	0.0531	18	13.7	1.12915	np
Proboscis	CrebA_(-)-NP	CrebA	305	natalisin	0.02434	2	2.7	1.13115	np
Proboscis	CrebA_(-)-NP	CrebA	1101	sNPF	0.19883	32	2.2	3.47684	np
Proboscis	Dfd_(+)-NP	Dfd	1079	sNPF	0.09366	2	8.2	3.46339	np
Proboscis	Dfd_(-)-NP	Dfd	1103	sNPF	0.15729	2	8.2	3.47235	np
Proboscis	Dif_(+)-NP	Dif	425	natalisin	0.10098	7	5.2	1.12471	np
Proboscis	Dif_(-)-NP	Dif	341	natalisin	0.1148	7	5.2	1.12903	np
Proboscis	dysf_(+)-NP	dysf	425	natalisin	0.14884	5	3.4	1.12471	np
Proboscis	emc_(+)-NP	emc	425	natalisin	0.12187	3	18	1.12471	np
Proboscis	Ets98B_(+)-NP	Ets98B	1099	sNPF	0.04268	1	1.7	3.46406	np
Proboscis	Ets98B_(-)-NP	Ets98B	1103	sNPF	0.20934	1	1.7	3.47235	np
Proboscis	ey_(+)-NP	ey	1103	sNPF	0.14372	30	20.1	3.47235	np
Proboscis	foxo_(-)-NP	foxo	425	natalisin	0.03349	2	5.1	1.12471	np
Proboscis	foxo_(-)-NP	foxo	1103	sNPF	0.13745	18	1.3	3.47235	np
Proboscis	Hnf4_(-)-NP	Hnf4	425	natalisin	0.03885	92	25.4	1.12471	np
Proboscis	Hnf4_(-)-NP	Hnf4	1103	sNPF	0.16814	2	0.8	3.47235	np
Proboscis	Hsf_(+)-NP	Hsf	1103	sNPF	0.04023	22	11.5	3.47235	np
Proboscis	inv_(+)-NP	inv	1103	sNPF	0.18964	17	26.9	3.47235	np
Proboscis	Lim1_(+)-NP	Lim1	18	FMRFa	0.05014	38	13	1.94444	np
Proboscis	Lim1_(+)-NP	Lim1	39	NPF	0.03456	64	25.2	1.20513	np
Proboscis	NfI_(-)-NP	NfI	1101	sNPF	0.03378	88	38.6	3.47502	np
Proboscis	pb_(+)-NP	pb	425	natalisin	0.10618	47	31.9	1.12471	np
Proboscis	pb_(+)-NP	pb	1103	sNPF	0.1401	40	14.3	3.47235	np
Proboscis	pb_(-)-NP	pb	356	natalisin	0.06361	47	31.9	1.1236	np
Proboscis	pb_(-)-NP	pb	994	sNPF	0.14313	40	14.3	3.45473	np
Proboscis	pho_(+)-NP	pho	18	FMRFa	0.06557	2	0.8	1.94444	np
Proboscis	pnt_(+)-NP	pnt	1103	sNPF	0.0496	1	0.1	3.47235	np
Proboscis	Rel_(-)-NP	Rel	352	natalisin	0.03225	1	3.3	1.13068	np
Proboscis	Rel_(-)-NP	Rel	28	Pdf	0.11014	100	22.3	2.28571	np
Proboscis	REPTOR-BP_(+)-NP	REPTOR-BP	133	Crz	0.05639	10	2.6	2.33835	np
Proboscis	REPTOR-BP_(+)-NP	REPTOR-BP	1103	sNPF	0.05507	86	6.4	3.47235	np
Proboscis	RunxB_(+)-NP	RunxB	66	AstC	0.14676	67	33.5	2.48485	np
Proboscis	slp1_(+)-NP	slp1	1103	sNPF	0.11679	1	22.3	3.47235	np
Proboscis	slp2_(+)-NP	slp2	1103	sNPF	0.13539	25	6	3.47235	np
Proboscis	Sox102F_(+)-NP	Sox102F	18	FMRFa	0.12273	44	21.6	1.94444	np
Proboscis	Sox102F_(-)-NP	Sox102F	18	FMRFa	0.21432	44	21.6	1.94444	np
Proboscis	sr_(-)-NP	sr	30	AstC	0.15682	57	104.5	2.06667	np
Proboscis	sr_(-)-NP	sr	362	sNPF	0.12671	100	124.3	3.91713	np
Proboscis	ss_(+)-NP	ss	1103	sNPF	0.10305	1	2.2	3.47235	np
Proboscis	TfAP-2_(+)-NP	TfAP-2	124	AstA	0.08799	29	9.8	4.85484	np
Proboscis	unc-4_(+)-NP	unc-4	64	AstC	0.01766	9	10.4	2.53125	np
Proboscis	vri_(-)-NP	vri	1102	sNPF	0.29891	1	0.1	3.47459	np
Proboscis	Xbp1_(-)-NP	Xbp1	315	natalisin	0.04609	7	14	1.13016	np
Testis	Dll_(+)-NP	Dll	897	natalisin	0.11221	1	0	1.19064	np
Testis	Dp_(+)-NP	Dp	1812	AstA	0.05112	1	0	1.19426	np
Testis	Sox14_(+)-NP	Sox14	916	natalisin	0.249	1	0	1.18668	np
Trachea	Atf3_(-)-NP	Atf3	288	natalisin	0.02034	90	46.9	1.0625	np
Trachea	CG11294_(+)-NP	CG11294	101	sNPF	0.04206	10	1.6	2.09901	np
Trachea	CHES-1-like_(-)-NP	CHES-1-like	164	natalisin	0.10656	1	1.4	1.09756	np
Trachea	CrebB_(-)-NP	CrebB	168	natalisin	0.06	16	31.7	1.04762	np
Trachea	Dp_(+)-NP	Dp	317	natalisin	0.09367	4	3.5	1.06625	np
Trachea	E2f1_(-)-NP	E2f1	225	natalisin	0.06177	36	8.7	1.07111	np
Trachea	ey_(+)-NP	ey	114	sNPF	0.08764	13	36.7	1.97368	np
Trachea	kay_(-)-NP	kay	309	natalisin	0.0345	100	147.7	1.06149	np
Trachea	oc_(+)-NP	oc	82	Capa	0.05429	3	22	1.07317	np
Trachea	Optix_(+)-NP	Optix	52	sNPF	0.12741	1	2	3.07692	np
Trachea	pnt_(+)-NP	pnt	317	natalisin	0.33605	29	22.3	1.06625	np
Trachea	REPTOR-BP_(+)-NP	REPTOR-BP	317	natalisin	0.11495	2	1.7	1.06625	np
Trachea	Sox100B_(+)-NP	Sox100B	315	natalisin	0.07045	5	7	1.06667	np
Trachea	Sox14_(+)-NP	Sox14	317	natalisin	0.26709	100	83.2	1.06625	np
Trachea	Sox14_(-)-NP	Sox14	67	natalisin	0.11769	100	83.2	1	np
Trachea	SoxN_(+)-NP	SoxN	202	AstC	0.03167	59	34.1	1.44554	np
Trachea	srp_(-)-NP	srp	261	natalisin	0.10663	100	69.5	1.06897	np
Trachea	vri_(-)-NP	vri	317	natalisin	0.02558	34	23.2	1.06625	np
Trachea	Vsx1_(+)-NP	Vsx1	178	AstA	0.04269	90	86.4	1.8764	np
Wing	Blimp-1_(+)-NP	Blimp-1	33	Crz	0.20859	4	4.2	1	np
Wing	cad_(+)-NP	cad	15	Pdf	0.01359	10	2.4	1.13333	np
Wing	CG11294_(+)-NP	CG11294	50	sNPF	0.0082	27	7.9	1.3	np
Wing	CG6769_(+)-NP	CG6769	25	NPF	0.03463	1	0.2	1.28	np
Wing	Clk_(+)-NP	Clk	587	natalisin	0.16111	2	1.4	1.1431	np
Wing	da_(+)-NP	da	50	sNPF	0.02699	3	1.9	1.3	np
Wing	Dr_(+)-NP	Dr	68	NPF	0.01577	1	0.7	1.14706	np
Wing	dysf_(+)-NP	dysf	587	natalisin	0.10211	4	5.4	1.1431	np
Wing	E5_(+)-NP	E5	28	AstA	0.03013	8	6.8	1.07143	np
Wing	Eip74EF_(+)-NP	Eip74EF	33	Crz	0.11268	1	5	1	np
Wing	emc_(+)-NP	emc	50	sNPF	0.07929	9	21.4	1.3	np
Wing	en_(+)-NP	en	30	AstA	0.06779	5	2.4	1.06667	np
Wing	en_(+)-NP	en	584	natalisin	0.06561	2	1.7	1.14384	np
Wing	grn_(+)-NP	grn	50	sNPF	0.15897	1	1.1	1.3	np
Wing	HLH54F_(+)-NP	HLH54F	33	Crz	0.02536	15	3.8	1	np
Wing	kni_(+)-NP	kni	134	NPF	0.04552	24	19.2	1.13433	np
Wing	Lim1_(+)-NP	Lim1	50	sNPF	0.04946	28	17.7	1.3	np
Wing	lmd_(+)-NP	lmd	25	sNPF	0.03591	3	1.7	1.32	np
Wing	Mad_(+)-NP	Mad	570	natalisin	0.04355	31	7.7	1.14737	np
Wing	mid_(+)-NP	mid	136	NPF	0.05829	14	5.3	1.13235	np
Wing	Mondo_(+)-NP	Mondo	136	NPF	0.02929	1	0.8	1.13235	np
Wing	mor_(+)-NP	mor	136	NPF	0.0257	62	9.4	1.13235	np
Wing	NFAT_(+)-NP	NFAT	587	natalisin	0.1466	11	19.8	1.1431	np
Wing	NFAT_(+)-NP	NFAT	136	NPF	0.12711	2	1.8	1.13235	np
Wing	OdsH_(+)-NP	OdsH	34	sNPF	0.02881	8	1.9	1.44118	np
Wing	Optix_(+)-NP	Optix	30	AstA	0.07926	8	4.4	1.06667	np
Wing	Pc_(+)-NP	Pc	366	natalisin	0.07068	21	3.7	1.17213	np
Wing	REPTOR-BP_(+)-NP	REPTOR-BP	136	NPF	0.04726	4	3.4	1.13235	np
Wing	RpII215_(+)-NP	RpII215	27	Crz	0.01338	26	14.5	1	np
Wing	Sox14_(+)-NP	Sox14	136	NPF	0.04687	1	0.9	1.13235	np
Head	achi_(+)-NPR	achi	7502	AstC-R2	0.05217	15	3.2	1.7458	npr
Head	aop_(+)-NPR	aop	24247	AstA-R1	0.06601	1	1.6	2.94243	npr
Head	Argk_(+)-NPR	Argk	10332	AstC-R1	0.17248	2	2.6	2.32569	npr
Head	Argk_(+)-NPR	Argk	2911	SIFaR	0.17216	5	3.5	1.21917	npr
Head	B-H2_(+)-NPR	B-H2	1762	CrzR	0.03998	4	2.3	1.50624	npr
Head	BEAF-32_(+)-NPR	BEAF-32	2256	SIFaR	0.03802	8	3.4	1.26152	npr
Head	bigmax_(+)-NPR	bigmax	10158	sNPF-R	0.06174	35	1.6	1.41386	npr
Head	bsh_(+)-NPR	bsh	24163	AstA-R1	0.232	17	114.4	2.94914	npr
Head	CG32532_(+)-NPR	CG32532	7658	AstC-R2	0.11083	100	23.5	1.73218	npr
Head	CG44247_(-)-NPR	CG44247	4780	FMRFaR	0.02467	1	1.4	1.26046	npr
Head	CG44247_(-)-NPR	CG44247	16342	Pdfr	0.03947	100	100.9	1.97002	npr
Head	CG44247_(-)-NPR	CG44247	2434	SIFaR	0.02571	23	9.8	1.21857	npr
Head	CG44247_(-)-NPR	CG44247	8519	sNPF-R	0.0343	9	4.9	1.41343	npr
Head	CG9727_(+)-NPR	CG9727	10168	sNPF-R	0.08214	3	2.1	1.41336	npr
Head	Clk_(-)-NPR	Clk	24247	AstA-R1	0.28041	35	1.4	2.94243	npr
Head	Clk_(-)-NPR	Clk	5815	FMRFaR	0.28694	24	1.3	1.26088	npr
Head	Clk_(-)-NPR	Clk	2483	NPFR	0.29791	2	1	1.29843	npr
Head	Clk_(-)-NPR	Clk	2911	SIFaR	0.28862	1	0.1	1.21917	npr
Head	cwo_(-)-NPR	cwo	24232	AstA-R1	0.13854	11	2	2.94363	npr
Head	CycT_(+)-NPR	CycT	5047	FMRFaR	0.0115	1	1.9	1.2552	npr
Head	Dbx_(+)-NPR	Dbx	5815	FMRFaR	0.1578	11	4.3	1.26088	npr
Head	Dif_(+)-NPR	Dif	2700	CrzR	0.04847	5	1.6	1.39481	npr
Head	Dll_(+)-NPR	Dll	2700	CrzR	0.04213	66	51.8	1.39481	npr
Head	Dp_(+)-NPR	Dp	2911	SIFaR	0.05016	1	1.4	1.21917	npr
Head	dsx_(-)-NPR	dsx	24247	AstA-R1	0.38857	1	0	2.94243	npr
Head	D_(+)-NPR	D	19077	Pdfr	0.09575	6	5.3	1.95036	npr
Head	E5_(+)-NPR	E5	2700	CrzR	0.08767	76	14.7	1.39481	npr
Head	Eip74EF_(+)-NPR	Eip74EF	10332	AstC-R1	0.17522	1	6.9	2.32569	npr
Head	Eip74EF_(+)-NPR	Eip74EF	2911	SIFaR	0.1707	4	6.4	1.21917	npr
Head	ems_(+)-NPR	ems	2678	CrzR	0.06478	56	25.3	1.39806	npr
Head	Ets65A_(+)-NPR	Ets65A	10332	AstC-R1	0.17001	2	23.8	2.32569	npr
Head	Ets65A_(+)-NPR	Ets65A	7658	AstC-R2	0.15421	12	11.1	1.73218	npr
Head	Ets65A_(+)-NPR	Ets65A	2911	SIFaR	0.15724	5	69.2	1.21917	npr
Head	Ets65A_(-)-NPR	Ets65A	3976	AstC-R1	0.12444	2	23.8	2.96705	npr
Head	Ets65A_(-)-NPR	Ets65A	2644	AstC-R2	0.11328	12	11.1	1.75794	npr
Head	Ets65A_(-)-NPR	Ets65A	1150	SIFaR	0.12701	5	69.2	1.20783	npr
Head	exd_(+)-NPR	exd	1469	SIFaR	0.06001	1	4.8	1.2083	npr
Head	ey_(+)-NPR	ey	24247	AstA-R1	0.15899	55	96.8	2.94243	npr
Head	fkh_(+)-NPR	fkh	2911	SIFaR	0.12905	1	2.7	1.21917	npr
Head	fkh_(+)-NPR	fkh	2467	TkR86C	0.13786	1	0.8	1.24078	npr
Head	FoxK_(+)-NPR	FoxK	2911	SIFaR	0.0167	2	2.6	1.21917	npr
Head	FoxK_(-)-NPR	FoxK	1327	SIFaR	0.03439	2	2.6	1.2728	npr
Head	FoxP_(+)-NPR	FoxP	24247	AstA-R1	0.17785	19	9.6	2.94243	npr
Head	FoxP_(+)-NPR	FoxP	10332	AstC-R1	0.18726	6	11.2	2.32569	npr
Head	FoxP_(+)-NPR	FoxP	5815	FMRFaR	0.18376	1	2.2	1.26088	npr
Head	FoxP_(-)-NPR	FoxP	3590	AstA-R1	0.05832	19	9.6	2.85404	npr
Head	FoxP_(-)-NPR	FoxP	1084	AstC-R1	0.05408	6	11.2	2.6928	npr
Head	FoxP_(-)-NPR	FoxP	996	FMRFaR	0.06267	1	2.2	1.2761	npr
Head	grn_(+)-NPR	grn	24045	AstA-R1	0.09005	93	117.1	2.95837	npr
Head	grn_(-)-NPR	grn	14151	AstA-R1	0.07617	93	117.1	3.22048	npr
Head	Hr38_(+)-NPR	Hr38	5294	FMRFaR	0.07437	4	9.9	1.26294	npr
Head	Hr3_(+)-NPR	Hr3	2909	SIFaR	0.0772	1	2	1.21898	npr
Head	Hr3_(-)-NPR	Hr3	868	SIFaR	0.04658	1	2	1.20968	npr
Head	hth_(-)-NPR	hth	23295	AstA-R1	0.17917	5	3.3	2.96042	npr
Head	hth_(-)-NPR	hth	7338	AstC-R2	0.15808	1	2.1	1.73753	npr
Head	hth_(-)-NPR	hth	2583	CrzR	0.14667	100	85.3	1.39605	npr
Head	hth_(-)-NPR	hth	5597	FMRFaR	0.16841	5	20.1	1.26246	npr
Head	hth_(-)-NPR	hth	2379	NPFR	0.15773	5	13.4	1.30013	npr
Head	hth_(-)-NPR	hth	18238	Pdfr	0.15685	3	16.2	1.95767	npr
Head	hth_(-)-NPR	hth	2797	SIFaR	0.16761	5	27.9	1.22345	npr
Head	hth_(-)-NPR	hth	9776	sNPF-R	0.18732	5	8.6	1.41622	npr
Head	jigr1_(+)-NPR	jigr1	2406	TkR86C	0.12263	2	1.6	1.24065	npr
Head	klu_(+)-NPR	klu	2529	CrzR	0.13956	18	51.3	1.41953	npr
Head	Kr_(+)-NPR	Kr	7658	AstC-R2	0.19522	40	7.9	1.73218	npr
Head	Kr_(+)-NPR	Kr	5815	FMRFaR	0.17942	12	3.1	1.26088	npr
Head	Kr_(+)-NPR	Kr	10186	sNPF-R	0.1657	13	9.3	1.41292	npr
Head	Lmx1a_(+)-NPR	Lmx1a	10172	sNPF-R	0.1913	8	2.8	1.41349	npr
Head	maf-S_(+)-NPR	maf-S	9615	sNPF-R	0.0299	5	2.7	1.41664	npr
Head	Mef2_(-)-NPR	Mef2	15584	AstA-R1	0.0518	11	4.6	2.92948	npr
Head	Mef2_(-)-NPR	Mef2	1234	NPFR	0.03785	3	3.7	1.26661	npr
Head	Mef2_(-)-NPR	Mef2	12864	Pdfr	0.07287	29	7.4	1.90493	npr
Head	Mef2_(-)-NPR	Mef2	1746	SIFaR	0.04424	13	9.4	1.20332	npr
Head	Mef2_(-)-NPR	Mef2	6675	sNPF-R	0.07487	20	6	1.40075	npr
Head	Mef2_(-)-NPR	Mef2	1279	TkR86C	0.04404	84	18.1	1.22127	npr
Head	Mondo_(+)-NPR	Mondo	18941	Pdfr	0.03283	1	9	1.95317	npr
Head	nej_(+)-NPR	nej	2911	SIFaR	0.15884	9	6.8	1.21917	npr
Head	nej_(+)-NPR	nej	10186	sNPF-R	0.1503	3	8.9	1.41292	npr
Head	nej_(-)-NPR	nej	322	SIFaR	0.09662	9	6.8	1.20186	npr
Head	nej_(-)-NPR	nej	2394	sNPF-R	0.14056	3	8.9	1.45322	npr
Head	oc_(+)-NPR	oc	10332	AstC-R1	0.12666	89	79.9	2.32569	npr
Head	oc_(+)-NPR	oc	2911	SIFaR	0.12191	32	59.7	1.21917	npr
Head	Oli_(+)-NPR	Oli	2467	TkR86C	0.07182	94	9	1.24078	npr
Head	onecut_(-)-NPR	onecut	4739	AstA-R1	0.04772	92	70.2	2.72294	npr
